Year,Month,Day,Title,Holiday
1390,1,1,جشن نوروز/جشن سال نو,1
1390,1,2,عیدنوروز,1
1390,1,3,عیدنوروز,1
1390,1,3,روز جهانی هواشناسی,0
1390,1,4,عیدنوروز,1
1390,1,6,روز امید روز شادباش نویسی,0
1390,1,6,زادروز آشو زرتشت ابرانسان بزرگ تاریخ,0
1390,1,7,روز جهانی تئاتر,0
1390,1,10,جشن آبانگاه,0
1390,1,12,روز جمهوری اسلامی,1
1390,1,13,جشن سیزده به در,1
1390,1,17,سروش روزجشن سروشگان,0
1390,1,18,روز جهانی بهداشت,0
1390,1,19,فروردین روزجشن فروردینگان,0
1390,1,20,ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,0
1390,1,23,روز دندانپزشک,0
1390,1,25,روز بزرگداشت عطار نیشابوری,0
1390,1,29,روز ارتش جمهوری اسلامی ایران,0
1390,1,30,روز علوم آزمایشگاهی زاد روز حکیم سید اسماعیل جرجانی,0
1390,2,1,روز بزرگداشت سعدی,0
1390,2,2,جشن گیاه آوری؛ روز زمین,0
1390,2,3,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی؛ روز معماری,0
1390,2,7,روز جهانی طراحی و گرافیک,0
1390,2,9,روزشوراها,0
1390,2,9,روز ملی روانشناس و مشاور,0
1390,2,10,جشن چهلم نوروز؛ روز ملی خلیج فارس,0
1390,2,11,روزجهانی  کارگر,0
1390,2,12,روز معلم,0
1390,2,15,جشن میانه بهار/جشن بهاربد؛ روز شیراز,0
1390,2,15,روز جهانی ماما,0
1390,2,17,شهادت حضرت فاطمه زهرا سلام الله علیها,1
1390,2,17,درگذشت ویلارد بویل فیزیکدان کانادایی برنده جایزه نوبل فیزیک سال 2009,0
1390,2,18,روز جهانی صلیب سرخ و هلال احمر,0
1390,2,22,زادروز مریم میرزاخانی ریاضیدان ایرانی روز جهانی زن در ریاضیات,0
1390,2,25,روز بزرگداشت فردوسی,0
1390,2,27,روز ارتباطات و روابط عمومی,0
1390,2,28,روز بزرگداشت حکیم عمر خیام,0
1390,2,28,روز جهانی موزه و میراث فرهنگی,0
1390,3,1,روز بهره وری و بهینه سازی مصرف,0
1390,3,1,روز بزرگداشت ملاصدرا,0
1390,3,3,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت ایثار و پیروزی,0
1390,3,3,ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر,0
1390,3,4,روز دزفول روز مقاومت و پایداری,0
1390,3,6,خرداد روزجشن خردادگان,0
1390,3,10,روز جهانی بدون دخانیات,0
1390,3,14,رحلت حضرت امام خمینی,1
1390,3,14,ولادت  امام محمد باقر علیه السلام,0
1390,3,15,قیام 15 خرداد,1
1390,3,15,روز جهانی محیط زیست,0
1390,3,16,شهادت امام علی النقی الهادی علیه السلام,0
1390,3,20,روز جهانی صنایع دستی,0
1390,3,22,روز جهانی مبارزه با کار کودکان,0
1390,3,23,ولادت امام محمد تقی علیه السلام,0
1390,3,24,روز جهانی اهدای خون,0
1390,3,25,روز ملی گل وگیاه,0
1390,3,26,ولادت امام علی علیه السلام و روز پدر,1
1390,3,27,روز جهاد کشاورزی,0
1390,3,27,روز جهانی بیابان زدایی,0
1390,3,28,وفات حضرت زینب سلام الله علیها,0
1390,4,1,جشن آب پاشونک جشن آغاز تابستان,0
1390,4,1,روز اصناف,0
1390,4,5,روز جهانی مبارزه با مواد مخدر,0
1390,4,7,انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و 72 نفر از اعضای حزب؛ روز قوه قضاییه,0
1390,4,7,شهادت امام موسی کاظم علیه السلام,0
1390,4,8,روز مبارزه با سلاح های شیمیایی و میکروبی,0
1390,4,9,مبعث رسول اکرم (ص),1
1390,4,10,روز صنعت و معدن,0
1390,4,12,شلیک به پرواز 655 ایران ایر توسط ناو وینسنس [ 1367 خورشیدی ],0
1390,4,13,تیر روزجشن تیرگان,0
1390,4,14,روز قلم,0
1390,4,14,ولادت سالار شهیدان امام حسین علیه السلام و روز پاسدار,0
1390,4,15,جشن خام خواری,0
1390,4,15,ولادت ابوالفضل العباس علیه السلام و روز جانباز,0
1390,4,16,ولادت امام زین العابدین علیه السلام,0
1390,4,22,ولادت علی اکبر علیه السلام و روز جوان,0
1390,4,22,زادروز محمد خوارزمی ریاضیدان و فیلسوف ایرانی و روز ملی فناوری اطلاعات,0
1390,4,25,روز بهزیستی و تامین اجتماعی,0
1390,4,26,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,1
1390,4,27,اعلام پذیرش قطعنامه 598 شورای امنیت از سوی ایران [ 1367 خورشیدی ],0
1390,5,6,روز ترویج آموزش های فنی و حرفه ای,0
1390,5,7,امرداد روزجشن  امردادگان,0
1390,5,8,روز بزرگداشت شیخ شهاب الدین سهروردی,0
1390,5,10,جشن چله تابستان,0
1390,5,10,آغاز هفته جهانی شیردهی,0
1390,5,14,صدور فرمان مشروطیت,0
1390,5,17,روز خبرنگار,0
1390,5,22,روز جهانی چپ دست ها,0
1390,5,24,ولادت امام حسن مجتبی علیه السلام,0
1390,5,27,شب قدر,0
1390,5,28,ضربت خوردن حضرت علی علیه السلام,0
1390,5,28,سالروز وقایع 28 مرداد پس از برکناری محمد مصدق,0
1390,5,28,سالروز فاجعه آتش زدن سینما رکس آبادان,0
1390,5,28,روز جهانی عکاسی,0
1390,5,30,شهادت حضرت علی علیه السلام,1
1390,5,31,شب قدر,0
1390,6,1,روز بزرگداشت ابوعلی سینا و روز پزشک,0
1390,6,2,آغاز هفته دولت,0
1390,6,4,زادروز داراب (کوروش),0
1390,6,4,شهریور روزجشن شهریورگان,0
1390,6,5,روز بزرگداشت محمدبن زکریای رازی و روز داروساز,0
1390,6,8,انفجار در دفتر نخست وزیری جمهوری اسلامی ایران روز مبارزه با تروریسم,0
1390,6,9,عید سعید فطر,1
1390,6,10,تعطیل به مناسبت عید سعید فطر,1
1390,6,11,روزصنعت چاپ,0
1390,6,13,روز بزرگداشت ابوریحان بیرونی,0
1390,6,17,قیام 17 شهریور,0
1390,6,19,روز جهانی پیشگیری از خودکشی,0
1390,6,20,حمله به برج های دوقلوی مرکز تجارت جهانی,0
1390,6,21,روز سینما,0
1390,6,22,روز گرامیداشت برنامه نویسان,0
1390,6,27,روز شعر و ادب پارسی و  روز بزرگداشت استاد شهریار,0
1390,6,30,روز جهانی صلح,0
1390,6,31,آغاز هفته دفاع مقدس,0
1390,7,1,آغاز حمله مغول به ایران در پاییز 598 خورشیدی,0
1390,7,2,شهادت امام جعفر صادق علیه السلام,1
1390,7,5,روز جهانی جهانگردی,0
1390,7,7,روز آتش نشانی و ایمنی,0
1390,7,7,ولادت حضرت معصومه سلام الله علیها و روز دختران,0
1390,7,7,سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز نامجو فلاحی فکوری جهان آرا) در سال 1360,0
1390,7,8,روزبزرگداشت مولوی,0
1390,7,8,روز جهانی ناشنوایان,0
1390,7,8,روز جهانی ترجمه و مترجم,0
1390,7,9,روز جهانی سالمندان,0
1390,7,10,مهر روزجشن مهرگان,0
1390,7,12,آغاز هفته جهانی فضا,0
1390,7,13,روز نیروی انتظامی,0
1390,7,13,روز جهانی معلم,0
1390,7,13,درگذشت استیو جابز بنیانگذار و رئیس پیشین شرکت اپل,0
1390,7,14,روز دامپزشکی,0
1390,7,16,روز ملی کودک,0
1390,7,17,ولادت امام  رضا علیه السلام,0
1390,7,17,روز جهانی پست,0
1390,7,18,روز جهانی مبارزه با حکم اعدام,0
1390,7,19,روز جهانی دختر,0
1390,7,20,روز بزرگداشت حافظ,0
1390,7,20,درگذشت دنیس ریچی  نویسنده زبان برنامه نویسی C و سیستم عامل UNIX,0
1390,7,21,روز پیروزی کاوه و فریدون بر ضحاک,0
1390,7,22,روز جهانی استاندارد,0
1390,7,23,روز جهانی عصای سفید,0
1390,7,24,روز جهانی غذا,0
1390,7,25,روز جهانی ریشه کنی فقر,0
1390,7,26,روز تربیت بدنی و ورزش,0
1390,8,1,روز آمار و برنامه ریزی,0
1390,8,1,درگذشت هربرت هاپتمن ریاضی دان آمریکایی برنده جایزه نوبل شیمی سال 1985,0
1390,8,6,شهادت امام محمد تقی علیه السلام,0
1390,8,7,سالروز ورود کوروش بزرگ به بابل در سال 539 پیش از میلاد,0
1390,8,8,روز نوجوان,0
1390,8,10,آبان روز جشن آبانگان,0
1390,8,13,روز دانش آموز,0
1390,8,13,شهادت امام محمد باقر علیه السلام,0
1390,8,13,درگذشت نورمن فاستر رمزی  فیزیکدان آمریکایی برنده جایزه نوبل فیزیک سال 1989 به همراه هانس جرج دهملت و ولفگانگ پل,0
1390,8,14,روز فرهنگ عمومی,0
1390,8,15,جشن میانه پاییز,0
1390,8,15,روز عرفه,0
1390,8,16,عید سعید قربان,1
1390,8,18,روز ملی کیفیت,0
1390,8,21,ولادت امام علی النقی الهادی علیه السلام,0
1390,8,23,روز جهانی دیابت,0
1390,8,24,روز کتاب و کتابخوانی,0
1390,8,24,عید سعید غدیر خم,1
1390,8,26,روز جهانی فلسفه,0
1390,8,26,ولادت امام موسی کاظم علیه السلام,0
1390,8,28,روز جهانی آقایان,0
1390,8,29,روز جهانی کودک,0
1390,9,1,آذر جشن,0
1390,9,4,روز جهانی مبارزه با خشونت علیه زنان,0
1390,9,5,روز بسیج مستضعفان,0
1390,9,7,روز نیروی دریایی,0
